Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.160003001,-0.027230562759249843,0.12756145297090105,-1.365648720538811,
0.165007847,-0.014123012219118602,0.04841909645875209,-1.3147006780912047,
0.17001277,0.05765460364481012,0.08470390509668935,-1.1973282457200343,
0.175017616,0.05378512090412935,0.10607040938618928,-1.0114926624939962,
0.179991924,0.01238232092832059,0.03888760421183224,-1.0160529556787914,
0.184996847,0.04055163253763938,0.0924016826431473,-0.8817956879072915,
0.190001693,-0.05949604519669516,0.11222853605592409,-0.7743894922203642,
0.195006539,-0.032273936338935716,0.10510570482130177,-0.7880632295184791,
0.200011386,-0.05646492486613147,0.09174600184532267,-0.7223878394741581,
0.205016232,-0.08347917751802725,0.07339680147625804,-0.6008945855441699,
0.210021155,-0.05912190402614059,0.051056003192725186,-0.5726533057644367,
0.214995462,-0.10858907481087832,0.002537612612774076,-0.5040912725412374,
0.220000309,-0.10219413582526515,0.04033728003162551,-0.41093445602127066,
0.225005232,-0.11240110829705297,0.03226982402530032,-0.24447174694592277,
0.230010078,-0.07459801066107996,0.002831545255396639,-0.15727020761533161,
0.235014924,-0.08266272249370776,-0.05136482971365153,-0.1717847940219528,
0.24001977,-0.10443741562008835,-0.05641483511491541,-0.11444352125271795,
0.244994155,-0.12185717012119279,-0.08343905803333862,-0.06857050303733025,
0.249999001,-0.06683993646011344,-0.06675124642667085,0.029419796910955753,
0.255003847,-0.1071020627697753,-0.17598410032126832,0.08482734143501425,
0.260008693,-0.06269733625097651,-0.23272463148382116,0.11383050107769943,
0.265013616,-0.11144942059074703,-0.293439932390426,0.12937159080356597,
0.270018463,-0.043190860859194324,-0.21942906993577815,0.25672603240847813,
0.27499277,-0.05753700265219919,-0.22151197924574162,0.4199014710683837,
0.279997693,-0.07667540175860021,-0.23083964931456213,0.5887490119377148,
0.28500254,-0.08432468305543972,-0.2689476326901752,0.7314881011517347,
0.290007386,-0.029152508819229705,-0.27644965774210584,0.7460810601450207,
0.295012232,-0.07695212065706825,-0.29777420144392885,0.9033227491169935,
0.300017078,-0.08454601049049837,-0.3454795883585122,0.7992725791764066,
0.304991463,-0.10594404601752072,-0.41428969752701983,0.6700638152942497,
0.309996309,-0.06177092284917285,-0.4233691092484225,0.6816183740127437,
0.315001155,-0.01877093864249746,-0.4382940766138259,0.7598149628820696,
0.320006078,0.03095192469940533,-0.3889424750743249,1.0215703846122963,
0.325010924,-0.013545697865597783,-0.4643828918169291,1.1926667691156183,
0.33001577,0.058116478969484686,-0.5094123313530565,1.2835760117280408,
0.335020617,0.07713893512871284,-0.46882142859334003,1.3792869568433712,
0.339995001,0.11534126170465475,-0.43634870638556683,1.4558564758750876,
0.344999847,0.06928869539888005,-0.3644018649268739,1.547757080114133,
0.350004694,0.09373819394422611,-0.3221672677364821,1.6366012024213852,
0.35500954,0.1362821067453468,-0.35733260340427353,1.5391241015855464,
0.360014463,0.14733292302139944,-0.362480557973663,1.5071110488465624,
0.365019309,0.10254341475684114,-0.5581350143873534,1.243996029018657,
0.369993617,0.1356648454071574,-0.5614297243852489,1.1484263459200026,
0.37499854,0.10087043833744469,-0.5564040067115683,1.2711672241969403,
0.380003386,0.042389113044833726,-0.37617016810729176,1.3540370508419262,
